"sp","ba","Latin","n","prop_ba","prop_n","adj_ba","adj_n"
"cecrlo",0.0236169227733613,"Cecropia longipes",9,1.49517077962218e-05,4.3327764913176e-05,66881.991918856,23079.8888888889
"cecrob",3.97047988409089,"Cecropia obtusifolia",297,0.00251368290472901,0.00142981624213481,397.822652220252,699.390572390572
"cedrod",0.179604852005728,"Cedrela odorata",8,0.000113706569299634,3.8513568811712e-05,8794.56663022564,25964.875
"ceibpe",58.7191933435833,"Ceiba pentandra",64,0.0371747085481176,0.000308108550493696,26.9000091474997,3245.609375
"celtsc",1.71984055086467,"Celtis schippii",106,0.00108881896339291,0.000510304786755184,918.426325790529,1959.61320754717
"cespma",0.179921367465578,"Cespedesia spathulata",2,0.000113906953012367,9.62839220292799e-06,8779.09533662472,103859.5
"cestme",0.0475676397661665,"Cestrum schlechtendalii",80,3.01147383664174e-05,0.00038513568811712,33206.3319904235,2596.4875
"cestra",0.0336998643950577,"Cestrum racemosum",4,2.13351472604018e-05,1.9256784405856e-05,46871.014659271,51929.75
"cha1te",0.00217633831077433,"Chamaedorea tepejilote",3,1.37782448630963e-06,1.4442588304392e-05,725781.846625767,69239.6666666667
"cha2sc",0.622673088719458,"Chamguava schippii",576,0.000394209955481815,0.00277297695444326,2536.71929410756,360.623263888889
"chimpa",0.0751359006995803,"Chimarrhis parviflora",3,4.75680105764334e-05,1.4442588304392e-05,21022.53148454,69239.6666666667
"chr1ec",0.626463420256014,"Chrysochlamys eclipes",412,0.000396609587734045,0.00198344879380317,2521.37121977639,504.172330097087
"chr2ar",4.00768733668368,"Chrysophyllum argenteum",740,0.00253723868142133,0.00356250511508336,394.129258442415,280.701351351351
"chr2ca",4.99368797198528,"Chrysophyllum cainito",177,0.00316146875268817,0.000852112709959127,316.308677461926,1173.55367231638
"clidde",0.0119011383699615,"Clidemia dentata",44,7.53452704476715e-06,0.000211824628464416,132722.332013463,4720.88636363636
"clidoc",0.00136109501716778,"Miconia octona",7,8.61699687756977e-07,3.3699372710248e-05,1160497.11309867,29674.1428571429
"clidse",0.000113097335529233,"Miconia septuplinervia",1,7.1601128122911e-08,4.814196101464e-06,13966260.3958333,207719
"coccco",0.608481729305029,"Coccoloba coronata",131,0.000385225505592559,0.000630659689291784,2595.88211445602,1585.64122137405
"coccma",0.81445239765601,"Coccoloba manzinellensis",326,0.000515624087885846,0.00156942792907726,1939.39737008832,637.174846625767
"colugl",0.0106633508644472,"Colubrina glandulosa",3,6.75089247586641e-06,1.4442588304392e-05,148128.562790013,69239.6666666667
"conobr",0.0113293685070082,"Conostegia bracteata",5,7.17254356370133e-06,2.407098050732e-05,139420.554384749,41543.8
"conoci",0.0330212803818823,"Conostegia cinnamomea",83,2.09055404916644e-05,0.000399578276421512,47834.2093283227,2502.63855421687
"cordal",4.57900009790592,"Cordia alliodora",221,0.00289893277459433,0.00106393733842354,344.954532496856,939.904977375566
"cordbi",18.1503944764824,"Cordia bicolor",729,0.0114908871576031,0.00350954895796725,87.0254825658379,284.936899862826
"cordla",4.25012561255753,"Cordia lasiocalyx",1077,0.00269072464969381,0.00518488920127673,371.647095184487,192.868152274838
"cou2cu",3.15547456612784,"Coussarea curvigemmia",1962,0.00199770876688345,0.00944545275107236,500.573465250425,105.871049949032
"couthe",0.068774175576061,"Coutarea hexandra",3,4.35404471195196e-05,1.4442588304392e-05,22967.1504579403,69239.6666666667
"crotbi",2.30943502513631,"Croton billbergianus",630,0.00146208708058894,0.00303294354392232,683.953789946076,329.712698412698
"cupaci",0.0219738698155338,"Cupania cinerea",19,1.39115025182139e-05,9.14697259278159e-05,71882.9615054686,10932.5789473684
"cupala",0.71020257243745,"Cupania americana",70,0.000449624256348384,0.00033699372710248,2224.07929705903,2967.41428571429
"cuparu",0.249147146985592,"Cupania rufescens",124,0.000157733307414322,0.000596960316581536,6339.815073891,1675.15322580645
"cupasy",2.49401615990533,"Cupania seemannii",1338,0.00157894409952598,0.00644139438375883,633.334644526182,155.245889387145
"cyphha",0.0182212373908208,"Solanum splendens",28,1.15357373086912e-05,0.000134797490840992,86687.1334913793,7418.53571428571
"dendar",4.11334930780002,"Dendropanax arboreus",69,0.00260413253260022,0.000332179531001016,384.005033338877,3010.42028985507
"des2pa",8.28542362167544,"Desmopsis panamensis",10880,0.0052454434537482,0.0523784535839283,190.641650952397,19.0918198529412
"dio2ar",0.528546260428927,"Diospyros artanthifolia",125,0.000334618922141409,0.000601774512683,2988.47415322617,1661.752
"diptpa",20.2279383376811,"Dipteryx oleifera",61,0.0128061655723471,0.000293665962189304,78.0873864507377,3405.22950819672
"drypst",14.5816049122648,"Drypetes standleyi",2141,0.00923151157076443,0.0103071938532344,108.324621849246,97.0196170014012
"elaeol",3.3475562533573,"Elaeis oleifera",24,0.0021193143328592,0.000115540706435136,471.850722894365,8654.95833333333
"entesc",0.241817811324767,"Enterolobium schomburgkii",14,0.000153093156527912,6.7398745420496e-05,6531.97061632001,14837.0714285714
"ery1co",0.339791519819618,"Erythrina costaricensis",60,0.000215119622684609,0.00028885176608784,4648.5763944748,3461.98333333333
"ery2ma",0.247844956830679,"Erythroxylum macrophyllum",317,0.000156908899980795,0.00152610016416409,6373.12478847531,655.264984227129
"ery2pa",0.0649320077607206,"Erythroxylum panamense",118,4.11079976835663e-05,0.000568075139972752,24326.1665940925,1760.33050847458
"eugeco",2.86725778750405,"Eugenia coloradoensis",586,0.00181524075031305,0.0028211189154579,550.891114485801,354.469283276451
"eugega",1.32734802888292,"Eugenia galalonensis",2269,0.000840334706693191,0.0109234109542218,1190.00202185521,91.5464962538563
"eugene",2.23898088288875,"Eugenia nesiotica",518,0.00141748305837876,0.00249375358055835,705.475803812248,401.00193050193
"eugeoe",5.9110330268335,"Eugenia oerstediana",2023,0.003742233458574,0.00973911871326167,267.220100260943,102.678695007415
"faraoc",66.6122281158346,"Faramea occidentalis",23777,0.0421717333795336,0.114467140704509,23.7125657368713,8.73613155570509
"ficuc2",4.69277994443915,"Ficus costaricana",6,0.00297096599563626,2.8885176608784e-05,336.590860167634,34619.8333333333
"ficuci",0.00282743338823081,"Ficus citrifolia",1,1.79002820307277e-06,4.814196101464e-06,558650.415833333,207719
"ficuin",0.0224396109264285,"Ficus insipida",12,1.42063599416645e-05,5.7770353217568e-05,70391.0082601239,17309.9166666667
"ficuma",0.518226913960048,"Ficus maxima",5,0.00032808581643025,2.407098050732e-05,3047.9830273693,41543.8
"ficuob",9.76563997828571,"Ficus obtusifolia",11,0.00618255802416074,5.2956157116104e-05,161.745348137795,18883.5454545455
"ficupe",0.000645597290312702,"Ficus pertusa",2,4.08723106368283e-07,9.62839220292799e-06,2446644.15693431,103859.5
"ficupo",4.75167930890681,"Ficus popenoei",10,0.00300825476925655,4.814196101464e-05,332.418653572728,20771.9
"ficuto",0.294707309046115,"Ficus tonduzii",14,0.000186577125756557,6.7398745420496e-05,5359.71382314455,14837.0714285714
"ficutr",5.97591948150075,"Ficus crocata",9,0.00378331261691429,4.3327764913176e-05,264.318627947698,23079.8888888889
"ficuyo",2.08701262145665,"Ficus yoponensis",5,0.00132127302030405,2.407098050732e-05,756.845848384825,41543.8
"gar2in",6.93255093788027,"Garcinia recondita",5120,0.00438894926745177,0.0246486840394957,227.84496677051,40.5701171875
"gar2ma",0.624104869571331,"Garcinia madruno",406,0.000395116405874648,0.00195456361719438,2530.89971748035,511.62315270936
"geniam",1.09918436462881,"Genipa americana",65,0.000695885894695951,0.00031292274659516,1437.01720012147,3195.67692307692
"guapst",12.1972656788871,"Guapira standleyana",157,0.0077220031624657,0.000755828787929848,129.500076464705,1323.05095541401
"guargr",2.62386603825983,"Guarea grandifolia",81,0.0016611511447521,0.000389949884218584,601.992180638827,2564.43209876543
"guargu",15.7608496240777,"Guarea guidonia",1966,0.0099780831084905,0.00946470953547822,100.219650320319,105.655645981689
"guarsp",1.21954270617866,"Guarea bullata",615,0.000772083914690364,0.00296073060240036,1295.19600262756,337.754471544715
"guatdu",11.7332587271372,"Guatteria lucens",891,0.00742824362297965,0.00428944872640442,134.621325141578,233.130190796857
"guazul",6.75120485814629,"Guazuma ulmifolia",80,0.00427414033911707,0.00038513568811712,233.965176774372,2596.4875
"guetfo",1.83231113865951,"Guettarda foliacea",233,0.0011600233019308,0.00112170769164111,862.051648734596,891.497854077253
"gustsu",20.8743390903149,"Gustavia superba",668,0.0132153973450631,0.00321588299577795,75.6693101152628,310.956586826347
"hameax",0.0425041778067431,"Hamelia axillaris",103,2.69090961927479e-05,0.000495862198450792,37162.1548652944,2016.68932038835
"hampap",1.21999352472445,"Hampea appendiculata",117,0.000772369324742743,0.000563260943871288,1294.71739485909,1775.37606837607
"hassfl",3.78265741110153,"Hasseltia floribunda",387,0.00239477381734916,0.00186309389126657,417.575970121022,536.741602067184
"heisac",0.31469804849907,"Heisteria acuminata",95,0.000199233122382338,0.00045734862963908,5019.24573606265,2186.51578947368
"heisco",10.900352614234,"Heisteria concinna",871,0.00690093661768842,0.00419316480437514,144.907866192657,238.483352468427
"herrpu",0.495565035353378,"Herrania purpurea",536,0.000313738740382622,0.0025804091103847,3187.36538171998,387.535447761194
"hirtam",0.0862162979887915,"Hirtella americana",18,5.4582932212253e-05,8.66555298263519e-05,18320.7453222074,11539.9444444444
"hirttr",25.4941406228094,"Hirtella triandra",4165,0.0161401612210879,0.0200511267625975,61.9572497636178,49.8725090036014
"huracr",62.9148280315643,"Hura crepitans",94,0.0398309353764978,0.000452534433537616,25.1061138923202,2209.77659574468
"hybapr",15.5255545444999,"Pombalia prunifolia",26869,0.00982911944758107,0.129352635050236,101.738513336116,7.73080501693401
"hyeral",11.124560227939,"Hieronyma alchorneoides",110,0.00704288088189152,0.00052956157116104,141.987351024376,1888.35454545455
"ingaco",0.166488702676991,"Inga cocleensis",58,0.000105402827357602,0.000279223373884912,9487.41153410699,3581.36206896552
"ingafa",0.408050474200491,"Inga laurina",51,0.000258333886887124,0.000245524001174664,3870.95944728667,4072.92156862745
"ingago",1.6159598627829,"Inga goldmanii",308,0.00102305282998196,0.00148277239925091,977.466628011416,674.412337662338
